year,term,score
1874,gentlemen,1
1874,new,1
1874,west,1
1874,voice,1
1874,several,1
1874,body,0.664031353
1874,home rule,0.519775871
1874,body,0.51664983
1874,rule,0.509193938
1874,county,0.471535221
1874,home,0.463300042
1874,meeting,0.458427205
1874,taken,0.458427205
1874,home rule,0.32835277
1874,rule,0.321667952
1874,evening,0.307755941
1874,irish,0.30282425
1874,parnell,0.300693338
1874,meeting,0.294599958
1874,home,0.292675864
1874,public,0.283926988
1874,evening,0.243585751
1874,meeting,0.233172922
1874,public,0.224725373
