term,score
ireland,10.59064557
irish,6.698492682
victory,6.579175522
party,6.264758579
parnell,6.201207799
act,5.780147033
question,5.434591478
constitution,5.239994253
struggle,5.147484763
trust,5.077163464
country,4.986034747
remarkable,4.563000332
people,4.360595293
nothing,4.212694974
far,4.108564497
interests,4.023089531
irishmen,3.984491977
desire,3.952864736
future,3.903070825
parliament,3.667849117
coercion,3.46605669
times,3.390054187
strong,3.321790975
even,3.224407967
tenant,3.142256278
TRUE,3.04575355
england,3.012495924
success,2.990961424
voice,2.987416385
hope,2.860544182
strength,2.845774993
found,2.685486202
cannot,2.683899256
beyond,2.587523445
sometimes,2.587523445
whole,2.555117724
english,2.534764134
history,2.493420134
possible,2.431670779
years,2.415606555
confidence,2.411786774
time,2.271680237
matter,2.215302517
felt,2.153478145
doubt,2.133850145
every,2.111771074
cause,2.045493348
prosperity,2.044844779
outrages,2.021215296
another,2.008697672
day,2.000618822
two,1.913857349
land,1.910450967
irish people,1.84528511
government,1.797019504
men,1.790185825
help,1.697283837
circumstances,1.681222648
power,1.629279883
honest,1.557747262
greater,1.507492733
nation,1.50730997
place,1.502319849
magnificent,1.47022397
irish party,1.448307834
perhaps,1.414567289
among,1.37975919
convinced,1.345057959
prevent,1.317083262
justice,1.258713926
wrong,1.131992152
suffering,1.128472333
like,1.096784318
accepted,1
greatest,1
opportunity,0.997004048
division,0.991587949
prove,0.938713548
admit,0.902082971
innocent,0.876616547
long,0.864403109
succeed,0.854030898
address,0.833247479
irishman,0.827580551
longer,0.79570094
man,0.795603481
without,0.789798009
good,0.784303747
used,0.759663809
opinion,0.733370017
deal,0.727323091
continue,0.722216614
battle,0.719268471
committed,0.711274988
successful,0.707106781
war,0.707106781
knew,0.697704744
political parties,0.683354628
parties,0.645874108
therefore,0.636477091
want,0.63542988
minority,0.632431117
always,0.625169765
lord,0.610625764
offences,0.609682186
given,0.595824843
point,0.595690717
free,0.59318268
measure,0.583536646
look,0.583272964
back,0.580099421
wish,0.578057962
political,0.570448489
although,0.568297072
crime,0.563102571
result,0.559486644
right,0.559166146
settlement,0.530578662
powers,0.52424068
still,0.500905333
danger,0.486165629
five,0.465432063
effect,0.456469283
fortunate,0.451077416
go,0.442835625
countries,0.438634698
united,0.437043489
public,0.433551656
satisfaction,0.425372963
meeting,0.417646246
friend,0.416578705
advice,0.388094188
small,0.382145006
succeeded,0.37975919
enough,0.372506669
system,0.371793834
able,0.350366891
respect,0.338964264
happy,0.338417
proud,0.332030897
sympathy,0.32992661
work,0.304532423
take,0.29300991
extent,0.280752642
fact,0.245376756
join,0.234659535
gentlemen,0.198963576
